Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
7.080772877,1052.768027,160.2183075
7.053721905,1040.356847,165.8153992
7.766314983,1399.150382,170.8444977
7.833246231,1435.998878,173.0240936
7.959300995,1506.776853,173.9763947
7.283742905,1149.012424,176.7931976
7.001252174,1016.552582,178.0930023
6.758135796,910.7282546,174.0330048
6.179992199,686.4114027,167.9960022
6.301719189,730.5901706,168.8119965
7.517776966,1267.134969,184.7017975
8.094202995,1584.395551,194.0092926
7.854953766,1448.061049,197.8014984
7.719468117,1373.675076,191.2086945
8.847901344,2046.438946,195.0639038
9.631019592,2540.491731,198.074707
9.767664909,2638.971731,191.838501
9.185004234,2263.873095,190.0070038
9.927650452,2746.29034,179.3226929
12.03275967,3526.952507,175.9355011
10.87308979,3225.769174,180.7583008
10.38061047,3006.931915,177.4212036
10.34302044,2987.588083,164.6313934
9.283791542,2328.307526,157.3659973
8.263951302,1684.577838,151.1777039
7.161077023,1090.179344,144.4230042
5.502151966,469.6191644,145.3318024
4.645584106,253.4672425,155.7653046
3.847867012,100.642022,162.271698
4.553710938,233.4558636,148.0536041
5.735952854,539.5070619,136.6712036
5.057969093,350.3694191,139.4640045
4.922440052,317.1718028,141.7938995
3.821350098,96.25248176,148.5747986
3.580841064,61.57702143,165.8957062
4.716145039,269.2057367,187.6051941
5.080855846,356.114453,188.4362946
5.343267918,425.0226087,202.2389984
5.452712059,455.4989836,201.0330963
4.29698801,180.2207304,191.4851074
4.736260891,273.7530825,183.4333954
4.780562878,283.8646662,187.9405975
4.894141197,310.4131199,180.8480072
4.487487793,219.355975,185.8578033
5.314783096,417.2631565,180.8168945
5.711400986,531.9193571,186.1788025
5.374886036,433.7182755,196.3742065
6.895505905,969.6346499,193.9367065
7.240921021,1128.237686,187.7236023
6.709988117,890.6123118,185.273407
6.851963043,950.7168123,183.7971039
5.078312874,355.4740901,185.1383972
6.521288872,814.34348,189.263504
6.171179771,683.2747912,189.2765045
5.449243069,454.5165791,190.636795
5.851128101,575.9105762,196.9326935
5.094088078,359.454764,193.4658051
4.598594189,243.1654974,197.9337006
3.629702091,67.87244481,199.7156067
4.472650051,216.232972,205.3706055
4.918616772,316.2552558,204.3323059
5.625835896,505.9378767,209.3771057
6.316774845,736.1652234,211.6537018
6.237164974,706.9630418,212.0509033
6.449378014,786.3313199,211.607605
5.782717228,554.1258994,212.3511047
5.346119881,425.803377,216.8318024
4.379333019,196.8860292,220.0410004
3.011370897,16.3742125,238.6905975
3.743307114,83.98626485,245.0682068
3.24625206,28.73127208,238.0765076
2.185888052,0,238.4102936
2.142015934,0,234.7624054
2.501405954,0,223.3088074
2.668577909,0,226.0516968
3.034003019,17.18059304,221.0865021
3.197354078,25.43122108,232.6795959
3.907810926,110.9796039,241.9730988
3.801294088,93.00718811,221.5258942
4.43715477,208.8146524,225.1553955
3.677906036,74.4575207,220.4692993
4.115369797,144.7212631,222.5281067
4.987364769,332.9015993,220.7682037
4.871101856,304.9535561,222.9488983
5.921298981,598.7577677,212.7292938
5.030583858,343.5487361,216.0464935
4.997858047,335.4735677,206.8820038
6.434377193,780.5598676,208.842804
6.996636868,1014.475559,212.2098999
7.625429153,1323.35127,205.5773926
8.103025436,1589.535548,198.4824066
7.518618107,1267.568261,207.7772064
7.688251019,1356.847422,199.1479034
8.459005356,1802.775046,192.9795074
9.077300072,2193.93789,194.6878967
8.439414978,1790.767706,196.0083008
7.987431049,1522.807198,203.3475037
7.939982891,1495.816905,209.9878998
7.719861984,1373.888155,213.6096039
7.774147034,1403.435097,214.1114044
8.582259178,1878.957276,210.4824066
8.339191437,1729.804577,212.0424042
9.083572388,2198.000295,214.585495
8.675281525,1937.131478,211.3721008
9.150783539,2241.613462,208.8197937
9.191649437,2268.199522,204.3585052
8.260289192,1682.388913,201.8890991
8.48968792,1821.638384,194.9138947
8.78850174,2008.641646,194.1036072
8.9564991,2115.986258,193.3457947
9.095618248,2205.805875,195.2973938
8.725904465,1969.014282,199.5845032
8.112092018,1594.82568,197.5211029
6.856678963,952.7545786,200.4409943
7.279873848,1147.124788,200.8896942
7.534298897,1275.663238,199.7960968
6.945837021,991.791762,196.680603
7.085527897,1054.959522,199.6690063
7.406904221,1210.225036,197.4501953
6.934106827,986.5997761,196.3952026
7.151297092,1085.577233,194.0278931
6.571721077,834.3322217,191.2942047
6.759712219,911.3914755,190.1013947
6.414824963,773.0743738,185.5180969
6.523455143,815.1962332,187.6056976
7.062949181,1044.579697,192.7353973
6.692947865,883.5576994,196.0746002
6.809185982,932.3551445,194.8430023
6.096306801,656.9602747,192.4667969
6.142684937,673.1894828,190.7617035
6.430369854,779.022258,194.5778046
7.538290977,1277.729355,197.9828033
7.363255978,1188.27897,197.254303
7.46066618,1237.646646,201.2154999
7.031758785,1030.349722,199.337204
6.874794006,960.6072518,194.1508026
6.345135212,746.7335706,196.0812073
7.185342789,1101.653759,198.135498
6.635414124,859.9864071,199.4308014
6.927267075,983.5802763,194.1383057
8.333586693,1726.419178,193.2097015
9.532950401,2465.780065,191.9416962
8.42602253,1782.575933,189.827301
7.494080067,1254.910872,192.1376038
8.009915352,1535.679929,192.0973053
7.944521904,1498.388472,194.2440033
7.72806406,1378.329691,200.2335968
7.462277889,1238.475456,205.0283966
6.420166969,775.1153796,200.6712952
4.7484622,276.5245875,201.9185028
6.264211178,716.8074668,208.1761017
5.50088501,469.2545248,200.7915955
5.27207613,405.760119,208.0086975
5.701906204,529.0010043,217.7465057
6.579235077,837.3348199,212.3013
7.678398132,1351.561187,208.9172974
7.89579916,1470.901705,217.2373962
8.964849472,2121.355873,221.3515015
8.083142281,1577.962305,219.8023987
7.799798965,1417.519324,214.5469971
7.978303909,1517.596799,216.9134064
8.155491829,1620.257833,215.3661041
8.248645782,1675.437185,211.0007935
8.495847702,1825.433662,210.1282959
7.96182394,1508.211169,208.8327026
8.35203743,1737.573598,204.2586975
8.135239601,1608.367728,198.5278015
9.599003792,2516.478296,198.7720032
8.982050896,2132.426304,197.4006958
7.2846632,1149.461729,189.5783997
7.521474838,1269.040544,182.8565979
6.215313911,699.0669586,186.8215027
5.501014233,469.2917094,195.8029938
5.106607914,362.6279759,195.1764069
4.649808884,254.4003993,191.6334991
4.374350071,195.8669199,206.2425995
4.833168983,296.0476529,196.2194977
4.907478809,313.5912843,187.0084991
2.888112068,0,0
2.386636019,0,139.2751007
2.476815939,0,153.8556061
1.77384305,0,144.0395966
2.48486495,0,142.8634033
2.764512062,0,133.9111023
2.5070889,0,103.2738037
3.441704035,45.74272546,79.09410858
2.484878063,0,106.4503021
2.436743021,0,102.7186966
2.359375954,0,107.3701019
3.021173,16.71339969,94.58883667
3.395319939,41.15246635,97.73842621
3.413508892,42.91145285,101.6998978
5.160031796,376.3091657,81.87310028
5.161472797,376.6813732,62.48146057
5.414981842,444.8721366,61.62747955
6.778621197,919.3695705,67.9675827
4.436894894,208.7606108,0
5.013915062,339.4254412,50.42341995
5.274309158,406.3577312,47.2641716
5.915596962,596.8819872,43.18653107
5.858211994,578.1937936,42.6594696
5.650877953,513.468126,52.86571121
6.349774837,748.4708008,53.7215004
6.636434078,860.4009723,53.08805084
7.010248184,1020.608833,52.78892899
7.559226036,1288.599129,55.33359909
7.404004097,1208.758132,51.70399094
6.80051899,928.6616421,53.39633179
5.82537508,567.653659,45.68770981
6.080101967,651.3438616,45.51879883
6.582440853,838.6177863,40.36516953
6.643204212,863.1557364,46.86555862
6.345364094,746.8192169,38.58917999
6.042553902,638.4379438,48.70145035
5.757640839,546.2595924,41.20378113
5.694249153,526.6539705,46.98265076
7.068666935,1047.201966,33.49834061
6.641551018,862.482569,33.8251915
6.690164089,882.4084228,27.36738968
6.36333704,753.5623423,29.67544937
6.827414036,940.1524784,40.88489151
6.71631813,893.2415095,41.12696838
5.415152073,444.919796,41.6153717
6.953413963,995.1545635,35.44075012
7.42373991,1218.765432,36.21514893
8.381437302,1755.404476,39.72340012
7.493074894,1254.389015,46.13137817
7.380391121,1196.860929,45.09289932
6.244694233,709.6956846,42.08800888
5.493409157,467.1059234,33.02647018
5.124141216,367.0928112,30.50971031
5.285066128,409.242485,27.65151978
5.539794922,480.5208029,28.00427055
6.015673161,629.2911153,25.7741394
5.59703207,497.3508864,23.50094986
6.277314186,721.6050696,23.72624969
6.49335289,803.3932558,20.42690086
6.786591053,922.7448934,25.21842003
6.764401913,913.3662189,30.23693085
5.724936962,536.095229,29.67219925
6.238166809,707.326293,30.00231934
5.945401192,606.7245764,29.64308929
6.17223978,683.651641,30.39785957
6.351617813,749.1615205,30.28310966
7.168983936,1093.909493,18.97281075
6.629221916,857.4721041,17.22633934
6.55459404,827.511985,12.58047009
